PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,GBMO,UGMGBA2G,UGEM 02 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.006
2016-05-01,GBMO,UGMGBA3G,UGEM 07 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,GBMO,UGMGBA4G,UGEM 12 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,15.004
2016-05-01,GBMO,UGMGBA5G,UGEM 13 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,15.004
2016-05-01,GBMO,UGMGBA6G,UGEM 14 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,GBMO,UGMGBA7G,UGEM 15 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,GBMO,UGMGBA8G,UGEM 25 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,32.0
2016-05-01,GBMO,UGMGBA9G,UGEM 22 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,50.0
2016-05-01,GBMO,UGMGB12G,UGEM 21 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,18.92
2016-05-01,GBMO,UGMGB13G,UGEM 24 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,50.004
2016-05-01,GEBA,GENELBAG,GENELBA - PETROBRAS,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,437.4
2016-05-01,GEBA,GENELBAG,GENELBA - PETROBRAS,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,236.2
2016-05-01,GEBA,GENELPLG,GENELBA PLUS- PETROBRAS,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,164.55
2016-05-01,GOYD,CTGOYASG,CT GOYA - SECCO,NORESTE,Nea,DI,Térmica,Motor Diesel,13.0
2016-05-01,GUEM,CTGUEMEG,C.TERMICA GUEMES S.A.,NOROESTE,Noa,TV,Térmica,Turbovapor,261.0
2016-05-01,GUEM,CTGUEPLG,C.TERMICA GUEMES S.A.PLUS,NOROESTE,Noa,TG,Térmica,Turbina a gas,100.0
2016-05-01,HON1FV,CFCAHO1G,C.FOTOV. CAÑADA HONDA I-ENARSA,CUYO,Cuyo,FV,Renovable,Solar,2.0
2016-05-01,HON2FV,CFCAHO2G,C.FOTOV. CAÑADA HONDA 2-ENARSA,CUYO,Cuyo,FV,Renovable,Solar,3.0
2016-05-01,INDE,GINDEPEG,GENERACION INDEPENDENCIA S.A.,NOROESTE,Noa,TG,Térmica,Turbina a gas,120.0
2016-05-01,INMO,UGMBAI2G,UGEM 16 - BA INT - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,10.0
2016-05-01,INTA,CTINTASG,CT INTA CATAMARCA - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,7.0
2016-05-01,ISVE,CTISLAAG,CT ISLA VERDE - AGGREKO,CENTRO,Centro,DI,Térmica,Motor Diesel,24.5
2016-05-01,ITAT,CTITATTG,CT ITATI - TURBODISEL,NORESTE,Nea,DI,Térmica,Motor Diesel,6.0
2016-05-01,JUAR,CTJUARSG,CT ING JUAREZ - SECCO,NORESTE,Nea,DI,Térmica,Motor Diesel,4.0
2016-05-01,JUNI,CTJUNISG,CT JUNIN - SOENERGY,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,22.0
2016-05-01,LBAN,GELABANG,GENERACION LA BANDA S.A.,NOROESTE,Noa,TG,Térmica,Turbina a gas,26.0
2016-05-01,LBLA,CTLBLASG,CT LAGUNA BLANCA - SECCO,NORESTE,Nea,DI,Térmica,Motor Diesel,7.0
2016-05-01,LDCU,CTMENZAC,C T MENDOZA COGENERADOR       ,CUYO,Cuyo,TG,Térmica,Turbina a gas,45.6
2016-05-01,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TG,Térmica,Ciclos Combinados,249.82
2016-05-01,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TV,Térmica,Ciclos Combinados,124.39
2016-05-01,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TV,Térmica,Turbovapor,120.0
2016-05-01,LDCUHI,PAHCTMEG,PAH CT MENDOZA - ENARSA,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,1.0
2016-05-01,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,Comahue,TG,Térmica,Ciclos Combinados,375.0
