AÑO,MES,BALANCE,TIPO,ENERGIA
2013,2013-05-01,DEMANDA,Perdidas,333284.259
2013,2013-06-01,DEMANDA,Gran Usuario,2119563.578
2013,2013-06-01,DEMANDA,Distribuidor,8240973.616
2013,2013-06-01,DEMANDA,Bombeo,29594.67
2013,2013-06-01,DEMANDA,Exportacion,3.204
2013,2013-06-01,DEMANDA,Perdidas,311248.782
2013,2013-07-01,DEMANDA,Gran Usuario,2137923.028
2013,2013-07-01,DEMANDA,Distribuidor,9018250.365
2013,2013-07-01,DEMANDA,Bombeo,38684.649
2013,2013-07-01,DEMANDA,Exportacion,0.0
2013,2013-07-01,DEMANDA,Perdidas,376316.208
2013,2013-08-01,DEMANDA,Gran Usuario,2205305.415
2013,2013-08-01,DEMANDA,Distribuidor,8699173.828
2013,2013-08-01,DEMANDA,Bombeo,24372.049
2013,2013-08-01,DEMANDA,Exportacion,210.024
2013,2013-08-01,DEMANDA,Perdidas,346572.942
2013,2013-09-01,DEMANDA,Gran Usuario,2215042.67
2013,2013-09-01,DEMANDA,Distribuidor,7980830.325
2013,2013-09-01,DEMANDA,Bombeo,27557.546
2013,2013-09-01,DEMANDA,Exportacion,4.14
2013,2013-09-01,DEMANDA,Perdidas,400447.606
2013,2013-10-01,DEMANDA,Gran Usuario,2332954.979
2013,2013-10-01,DEMANDA,Distribuidor,7712760.653
2013,2013-10-01,DEMANDA,Bombeo,36068.306
2013,2013-10-01,DEMANDA,Exportacion,0.0
2013,2013-10-01,DEMANDA,Perdidas,352600.494
2013,2013-11-01,DEMANDA,Gran Usuario,2244139.087
2013,2013-11-01,DEMANDA,Distribuidor,7771562.565
2013,2013-11-01,DEMANDA,Bombeo,55243.954
2013,2013-11-01,DEMANDA,Exportacion,0.0
2013,2013-11-01,DEMANDA,Perdidas,346323.406
2013,2013-12-01,DEMANDA,Gran Usuario,2179804.298
2013,2013-12-01,DEMANDA,Distribuidor,10111482.195
2013,2013-12-01,DEMANDA,Bombeo,61068.24
2013,2013-12-01,DEMANDA,Exportacion,9.378
2013,2013-12-01,DEMANDA,Perdidas,425421.227
2014,2014-01-01,DEMANDA,Gran Usuario,2152581.518
2014,2014-01-01,DEMANDA,Distribuidor,9851760.85
2014,2014-01-01,DEMANDA,Bombeo,75366.607
2014,2014-01-01,DEMANDA,Exportacion,8.406
2014,2014-01-01,DEMANDA,Perdidas,376696.156
2014,2014-02-01,DEMANDA,Gran Usuario,2066731.941
2014,2014-02-01,DEMANDA,Distribuidor,7757236.26
2014,2014-02-01,DEMANDA,Bombeo,54277.761
2014,2014-02-01,DEMANDA,Exportacion,0.0
2014,2014-02-01,DEMANDA,Perdidas,301937.495
2014,2014-03-01,DEMANDA,Gran Usuario,2178794.202
2014,2014-03-01,DEMANDA,Distribuidor,7611004.587
2014,2014-03-01,DEMANDA,Bombeo,6910.888
2014,2014-03-01,DEMANDA,Exportacion,0.0
2014,2014-03-01,DEMANDA,Perdidas,319913.948
2014,2014-04-01,DEMANDA,Gran Usuario,2180984.943
2014,2014-04-01,DEMANDA,Distribuidor,7414389.407
2014,2014-04-01,DEMANDA,Bombeo,21878.432
2014,2014-04-01,DEMANDA,Exportacion,132.624
2014,2014-04-01,DEMANDA,Perdidas,338510.643
2014,2014-05-01,DEMANDA,Gran Usuario,2220945.14
2014,2014-05-01,DEMANDA,Distribuidor,8188159.866
2014,2014-05-01,DEMANDA,Bombeo,39157.311
2014,2014-05-01,DEMANDA,Exportacion,28.638
2014,2014-05-01,DEMANDA,Perdidas,348869.921
2014,2014-06-01,DEMANDA,Gran Usuario,2115057.259
2014,2014-06-01,DEMANDA,Distribuidor,8786657.717
2014,2014-06-01,DEMANDA,Bombeo,41369.142
2014,2014-06-01,DEMANDA,Exportacion,0.0
2014,2014-06-01,DEMANDA,Perdidas,371640.844
2014,2014-07-01,DEMANDA,Gran Usuario,2127407.258
2014,2014-07-01,DEMANDA,Distribuidor,9236534.844
2014,2014-07-01,DEMANDA,Bombeo,54650.679
2014,2014-07-01,DEMANDA,Exportacion,4525.566
2014,2014-07-01,DEMANDA,Perdidas,360915.079
2014,2014-08-01,DEMANDA,Gran Usuario,2092042.098
2014,2014-08-01,DEMANDA,Distribuidor,8398640.291
2014,2014-08-01,DEMANDA,Bombeo,21753.051
2014,2014-08-01,DEMANDA,Exportacion,222.102
